gender,Topic,Semester,GradeID,SectionID,raisedhands,VisITedResources,AnnouncementsView,Discussion,EngagementScore,StudentAbsenceDays,AttendanceRisk,Class,PerformanceProxy,RiskStatus
F,French,S,G-02,B,17,80,13,10,30.0,Under-7,0,M,80,On Track
M,French,F,G-02,B,40,87,50,41,54.5,Under-7,0,M,80,On Track
M,French,S,G-02,B,35,92,29,33,47.2,Under-7,0,M,80,On Track
F,French,F,G-02,B,14,97,15,14,35.0,Under-7,0,H,95,On Track
F,French,F,G-02,B,13,82,20,30,36.2,Under-7,0,H,95,On Track
F,French,S,G-02,B,24,97,15,14,37.5,Under-7,0,H,95,On Track
F,French,S,G-02,B,23,82,20,30,38.8,Under-7,0,H,95,On Track
M,French,F,G-02,B,20,3,9,3,8.8,Above-7,1,L,50,At Risk
M,French,S,G-02,B,15,4,12,7,9.5,Above-7,1,L,50,At Risk
M,French,F,G-02,B,5,13,6,6,7.5,Above-7,1,L,50,At Risk
M,French,S,G-02,B,7,9,11,10,9.2,Above-7,1,L,50,At Risk
F,French,F,G-02,B,10,94,40,11,38.8,Under-7,0,M,80,On Track
F,French,S,G-02,B,25,89,21,13,37.0,Under-7,0,M,80,On Track
M,French,F,G-02,B,30,98,42,21,47.8,Under-7,0,H,95,On Track
M,French,S,G-02,B,35,97,41,23,49.0,Under-7,0,H,95,On Track
M,French,F,G-02,B,32,88,32,25,44.2,Under-7,0,M,80,On Track
M,French,S,G-02,B,25,87,21,27,40.0,Under-7,0,M,80,On Track
F,French,F,G-02,B,72,98,52,15,59.2,Under-7,0,H,95,On Track
F,French,S,G-02,B,75,90,51,17,58.2,Under-7,0,H,95,On Track
M,Arabic,F,G-02,A,20,88,31,28,41.8,Above-7,1,M,80,At Risk
M,Arabic,S,G-02,A,10,98,41,38,46.8,Above-7,1,M,80,On Track
M,Arabic,F,G-02,A,90,98,41,38,66.8,Under-7,0,H,95,On Track
M,Arabic,S,G-02,A,80,88,51,39,64.5,Under-7,0,H,95,On Track
M,Arabic,F,G-02,A,80,95,21,28,56.0,Under-7,0,H,95,On Track
M,Arabic,S,G-02,A,78,70,31,29,52.0,Under-7,0,H,95,On Track
M,Arabic,F,G-02,A,10,18,71,38,34.2,Above-7,1,M,80,At Risk
M,Arabic,S,G-02,A,10,58,51,48,41.8,Above-7,1,M,80,At Risk
F,Arabic,F,G-02,A,98,88,60,31,69.2,Under-7,0,H,95,On Track
F,Arabic,S,G-02,A,75,81,51,34,60.2,Under-7,0,H,95,On Track
M,Arabic,F,G-02,A,10,17,50,21,24.5,Under-7,0,M,80,On Track
M,Arabic,S,G-02,A,35,2,29,23,22.2,Under-7,0,M,80,On Track
F,Arabic,F,G-02,A,10,20,22,97,37.2,Above-7,1,L,50,At Risk
F,Arabic,S,G-02,A,5,9,19,98,32.8,Above-7,1,L,50,At Risk
M,Arabic,F,G-02,B,10,10,40,51,27.8,Above-7,1,L,50,At Risk
M,Arabic,S,G-02,B,35,2,29,23,22.2,Above-7,1,L,50,At Risk
M,Arabic,F,G-02,B,20,90,50,61,55.2,Above-7,1,M,80,On Track
M,Arabic,S,G-02,B,32,82,59,63,59.0,Above-7,1,M,80,On Track
M,Arabic,F,G-02,B,10,30,50,91,45.2,Above-7,1,L,50,At Risk
M,Arabic,S,G-02,B,12,22,59,83,44.0,Above-7,1,L,50,At Risk
F,Arabic,F,G-02,B,11,20,20,98,37.2,Above-7,1,L,50,At Risk
F,Arabic,S,G-02,B,10,12,29,93,36.0,Above-7,1,L,50,At Risk
M,Arabic,F,G-02,B,69,82,20,28,49.8,Under-7,0,H,95,On Track
M,Arabic,S,G-02,B,70,83,29,33,53.8,Under-7,0,H,95,On Track
F,Arabic,F,G-02,B,89,92,40,28,62.2,Under-7,0,H,95,On Track
F,Arabic,S,G-02,B,79,93,49,23,61.0,Under-7,0,H,95,On Track
M,Arabic,F,G-02,B,15,90,21,97,55.8,Under-7,0,M,80,On Track
M,Arabic,S,G-02,B,20,77,31,88,54.0,Under-7,0,M,80,On Track
M,Arabic,F,G-02,B,4,10,11,7,8.0,Above-7,1,L,50,At Risk
M,Arabic,S,G-02,B,5,0,1,8,3.5,Above-7,1,L,50,At Risk
F,Biology,F,G-07,A,88,81,50,10,57.2,Above-7,1,M,80,On Track
F,Biology,S,G-07,A,90,88,54,12,61.0,Above-7,1,M,80,On Track
F,Biology,F,G-07,A,86,98,50,20,63.5,Under-7,0,H,95,On Track
F,Biology,S,G-07,A,90,90,57,22,64.8,Under-7,0,H,95,On Track
M,Biology,F,G-07,A,78,91,50,40,64.8,Under-7,0,H,95,On Track
M,Biology,S,G-07,A,70,98,54,72,73.5,Under-7,0,H,95,On Track
M,Biology,F,G-07,A,80,80,46,61,66.8,Under-7,0,M,80,On Track
M,Biology,S,G-07,A,85,82,59,63,72.2,Under-7,0,M,80,On Track
M,Biology,F,G-07,A,88,90,86,81,86.2,Under-7,0,H,95,On Track
M,Biology,S,G-07,A,89,92,89,83,88.2,Under-7,0,H,95,On Track
M,Biology,F,G-07,A,39,71,40,26,44.0,Above-7,1,M,80,At Risk
M,Biology,S,G-07,A,35,80,34,22,42.8,Above-7,1,M,80,At Risk
M,Biology,F,G-07,A,76,81,80,86,80.8,Under-7,0,H,95,On Track
M,Biology,S,G-07,A,65,89,64,82,75.0,Under-7,0,H,95,On Track
F,Biology,F,G-07,A,96,95,70,70,82.8,Under-7,0,H,95,On Track
F,Biology,S,G-07,A,80,91,87,72,82.5,Under-7,0,H,95,On Track
M,Biology,F,G-07,A,2,9,10,1,5.5,Above-7,1,L,50,At Risk
M,Biology,S,G-07,A,3,8,19,3,8.2,Above-7,1,L,50,At Risk
M,Biology,F,G-07,B,50,79,10,31,42.5,Under-7,0,M,80,On Track
M,Biology,S,G-07,B,53,88,9,33,45.8,Under-7,0,M,80,On Track
F,Biology,F,G-07,B,70,89,12,21,48.0,Under-7,0,H,95,On Track
F,Biology,S,G-07,B,59,90,19,43,52.8,Under-7,0,H,95,On Track
M,Biology,F,G-07,B,78,80,66,51,68.8,Under-7,0,M,80,On Track
M,Biology,S,G-07,B,79,72,79,83,78.2,Under-7,0,M,80,On Track
F,Biology,F,G-07,B,10,9,2,1,5.5,Above-7,1,L,50,At Risk
F,Biology,S,G-07,B,9,7,9,3,7.0,Above-7,1,L,50,At Risk
M,Biology,F,G-07,B,98,90,86,71,86.2,Under-7,0,H,95,On Track
M,Biology,S,G-07,B,89,92,89,83,88.2,Under-7,0,H,95,On Track
M,Biology,F,G-07,B,88,90,76,81,83.8,Under-7,0,H,95,On Track
M,Biology,S,G-07,B,99,96,89,84,92.0,Under-7,0,H,95,On Track
F,Chemistry,F,G-08,A,82,89,22,31,56.0,Under-7,0,H,95,On Track
F,Chemistry,S,G-08,A,84,92,29,43,62.0,Under-7,0,H,95,On Track
F,Geology,F,G-08,A,70,69,46,45,57.5,Above-7,1,M,80,On Track
F,Geology,S,G-08,A,74,62,49,43,57.0,Above-7,1,M,80,On Track
F,Geology,F,G-08,A,90,79,76,79,81.0,Under-7,0,H,95,On Track
F,Geology,S,G-08,A,84,77,79,68,77.0,Under-7,0,H,95,On Track
M,Chemistry,F,G-08,A,80,80,62,11,58.2,Above-7,1,M,80,On Track
M,Chemistry,S,G-08,A,81,82,69,13,61.2,Above-7,1,M,80,On Track
M,Chemistry,F,G-08,A,10,0,2,41,13.2,Above-7,1,L,50,At Risk
M,Chemistry,S,G-08,A,11,2,9,49,17.8,Above-7,1,L,50,At Risk
M,Geology,F,G-08,A,85,89,22,61,64.2,Under-7,0,H,95,On Track
M,Geology,S,G-08,A,80,89,23,68,65.0,Under-7,0,H,95,On Track
M,Geology,F,G-08,A,95,87,62,81,81.2,Under-7,0,M,80,On Track
M,Geology,S,G-08,A,87,79,73,98,84.2,Under-7,0,M,80,On Track
M,Chemistry,F,G-08,A,85,87,72,10,63.5,Above-7,1,M,80,On Track
M,Chemistry,S,G-08,A,79,88,79,20,66.5,Above-7,1,M,80,On Track
M,Geology,F,G-08,A,80,81,71,30,65.5,Under-7,0,M,80,On Track
M,Geology,S,G-08,A,70,83,70,23,61.5,Under-7,0,M,80,On Track
M,Chemistry,F,G-08,A,80,82,76,19,64.2,Under-7,0,M,80,On Track
M,Chemistry,S,G-08,A,70,82,75,29,64.0,Under-7,0,M,80,On Track
M,Geology,F,G-08,A,89,87,86,15,69.2,Under-7,0,M,80,On Track
M,Geology,S,G-08,A,90,86,85,10,67.8,Under-7,0,M,80,On Track
M,History,F,G-08,A,69,77,76,75,74.2,Above-7,1,M,80,On Track
M,History,S,G-08,A,70,76,65,70,70.2,Above-7,1,M,80,On Track
M,Chemistry,F,G-08,A,75,72,64,39,62.5,Above-7,1,L,50,On Track
M,Chemistry,S,G-08,A,72,76,66,40,63.5,Above-7,1,L,50,On Track
M,Geology,F,G-08,A,77,82,74,79,78.0,Under-7,0,M,80,On Track
M,Geology,S,G-08,A,71,84,67,80,75.5,Under-7,0,M,80,On Track
M,History,F,G-08,A,87,92,74,89,85.5,Under-7,0,H,95,On Track
M,History,S,G-08,A,81,84,77,85,81.8,Under-7,0,H,95,On Track
F,Chemistry,F,G-08,A,15,97,22,10,36.0,Under-7,0,H,95,On Track
F,Chemistry,S,G-08,A,19,98,20,2,34.8,Under-7,0,H,95,On Track
F,Geology,F,G-08,A,25,82,52,20,44.8,Above-7,1,M,80,At Risk
F,Geology,S,G-08,A,29,78,40,12,39.8,Above-7,1,M,80,At Risk
F,History,F,G-08,A,45,87,57,80,67.2,Under-7,0,M,80,On Track
F,History,S,G-08,A,39,88,43,72,60.5,Under-7,0,M,80,On Track
F,Chemistry,F,G-08,A,85,90,52,30,64.2,Under-7,0,H,95,On Track
F,Chemistry,S,G-08,A,79,91,49,22,60.2,Under-7,0,H,95,On Track
M,Chemistry,F,G-08,A,90,91,80,81,85.5,Under-7,0,H,95,On Track
M,Chemistry,S,G-08,A,80,90,80,83,83.2,Under-7,0,H,95,On Track
M,Geology,F,G-08,A,80,83,82,71,79.0,Above-7,1,M,80,On Track
M,Geology,S,G-08,A,71,81,83,72,76.8,Above-7,1,M,80,On Track
M,History,F,G-08,A,72,87,72,89,80.0,Above-7,1,M,80,On Track
M,History,S,G-08,A,69,77,83,92,80.2,Above-7,1,M,80,On Track
F,Chemistry,F,G-08,A,85,99,42,90,79.0,Under-7,0,H,95,On Track
F,Chemistry,S,G-08,A,89,96,45,92,80.5,Under-7,0,H,95,On Track
F,Geology,F,G-08,A,80,82,64,58,71.0,Under-7,0,H,95,On Track
F,Geology,S,G-08,A,87,93,63,60,75.8,Under-7,0,H,95,On Track
F,Chemistry,F,G-08,A,15,9,14,80,29.5,Above-7,1,L,50,At Risk
F,Chemistry,S,G-08,A,9,6,15,85,28.8,Above-7,1,L,50,At Risk
M,History,F,G-08,A,81,86,86,41,73.5,Under-7,0,M,80,On Track
M,History,S,G-08,A,78,82,78,53,72.8,Under-7,0,M,80,On Track
M,Geology,F,G-08,A,80,87,74,68,77.2,Under-7,0,M,80,On Track
M,Geology,S,G-08,A,85,88,79,70,80.5,Under-7,0,M,80,On Track
F,Chemistry,F,G-08,A,2,7,4,8,5.2,Above-7,1,L,50,At Risk
F,Chemistry,S,G-08,A,5,4,5,8,5.5,Above-7,1,L,50,At Risk
F,Geology,F,G-08,A,50,77,14,28,42.2,Under-7,0,M,80,On Track
F,Geology,S,G-08,A,55,74,25,29,45.8,Under-7,0,M,80,On Track
F,History,F,G-08,A,30,17,14,57,29.5,Above-7,1,L,50,At Risk
F,History,S,G-08,A,35,14,23,62,33.5,Above-7,1,L,50,At Risk
